absolute_magnitude,velocity,diameter_min,diameter_max,miss_distance_au,is_hazardous
21.53,9.5148232886,0.1313877806,0.2937920088,0.0661244463,0
28.4,10.1945221369,0.0055533491,0.0124176661,0.3133752451,0
26.1,13.9912093089,0.0160160338,0.0358129403,0.1900367137,0
19.23,16.1036157541,0.37892649840000003,0.8473054089000001,0.4893689978,0
21.02,21.3260597538,0.1661709017,0.3715694322,0.1473069831,0
24.0,21.2508996727,0.0421264611,0.0941976306,0.4998876877,0
23.68,3.5690381762,0.048815189200000005,0.1091540813,0.4498812184,0
28.5,7.5444988149,0.0053034072000000005,0.011858779100000001,0.3985204596,0
20.9,30.4043224743,0.1756123185,0.3926810818,0.3027033353,1
21.01,13.5837198289,0.1669379118,0.3732845187,0.0714031178,1
27.3,13.4173460838,0.009216265500000001,0.0206081961,0.3081505419,0
24.29,2.35918638,0.036859969900000004,0.0824213984,0.11963427,0
26.1,13.9238529851,0.0160160338,0.0358129403,0.3085736282,0
27.7,22.0221333947,0.0076657557000000005,0.0171411509,0.4067841555,0
23.2,9.9875369644,0.060891262200000004,0.1361570015,0.4624613618,0
21.48,14.5285722557,0.1344481952,0.30063530380000003,0.465313877,0
24.7,9.069084692,0.0305179233,0.0682401509,0.3369223174,0
26.5,3.1202972212,0.0133215567,0.0297879063,0.1622446996,0
25.9,5.5506766656,0.0175612318,0.0392681082,0.4779839678,0
24.7,4.1357900277,0.0305179233,0.0682401509,0.2443415902,0
23.81,11.1426443318,0.0459785188,0.1028110936,0.1821041089,0
27.4,7.7048344483,0.0088014652,0.019680674500000002,0.0976868544,0
22.28,23.0384755109,0.0930154254,0.2079888141,0.2950771355,0
27.028,1.297503829,0.010446119200000001,0.0233582326,0.049915684,0
22.28,26.0820767388,0.0930154254,0.2079888141,0.3230944649,0
25.1,5.4913686674,0.025383702900000003,0.0567596853,0.0914387499,0
28.83,7.3777222623,0.0045556985,0.0101868516,0.4502616128,0
27.64,21.6730440223,0.0078805218,0.0176213825,0.4588050856,0
20.98,14.2039697119,0.16926024950000002,0.37847742370000004,0.1735820958,1
19.86,20.2521003209,0.283501249,0.6339280645,0.0661965437,1
30.6,5.0362912,0.0020162992,0.0045085821,0.1843558462,0
25.5,3.0445188442,0.0211132445,0.0472106499,0.3777562323,0
24.16,9.2302571883,0.0391340663,0.08750643250000001,0.2775917911,0
19.86,20.2521003216,0.283501249,0.6339280645,0.0661965438,1
19.76,14.3773518941,0.2968622513,0.6638041738,0.0406783209,1
19.49,26.0370056632,0.3361669212,0.7516920875,0.3381865196,0
26.6,9.5864102382,0.0127219879,0.0284472297,0.275850787,0
25.25,15.4939985125,0.0236894499,0.052971220400000005,0.4047255871,0
24.56,16.1965997412,0.0325502986,0.0727846803,0.2159005733,0
19.89,14.3773516909,0.2796114661,0.6252302454,0.0406783377,1
22.2,24.7986450683,0.096506147,0.2157943048,0.4886549014,0
20.38,20.8089817622,0.2231284644,0.4989304142,0.3777382898,0
31.5,9.6186282815,0.0013321557,0.0029787906,0.1138271617,0
23.898,3.3558911895,0.0441524672,0.09872791800000001,0.1924346928,0
15.08,10.1370175451,2.5618575448,5.7284876188,0.1997814866,0
22.49,12.1281269557,0.0844413128,0.1888165155,0.2321361689,0
23.48,15.42339793,0.053524790600000004,0.11968507020000001,0.4520392385,0
26.8,5.0757031441,0.0116025908,0.0259441818,0.2123154169,0
22.2,10.2341657287,0.096506147,0.2157943048,0.38786923,0
24.9,15.8315682972,0.0278326768,0.0622357573,0.41820022,0
22.82,6.1741789758,0.07253622950000001,0.1621959399,0.4465069453,0
26.8,9.453142313,0.0116025908,0.0259441818,0.37557285,0
